ZINC_ID,Smiles
179551541,CC1(C)C[C@H](NC(=O)c2cnc3ccc(F)cc3c2)CCO1
187477678,Cc1ccc2cc(CN3CCC(Cn4ccnn4)CC3)ccc2n1
188134155,C[C@@H](Cc1ccccc1F)N[C@@H]1CCN(c2ncccc2F)C1
191832990,CCOC(=O)c1csc([C@@H]2CCCN2Cc2cncs2)n1
193508845,COC[C@@H](NC(=O)c1scnc1C)c1ccc(Cl)cc1
206157208,Cc1onc(-c2cccc(Br)c2F)c1C(=O)O
225746154,COC(=O)CCCc1nc(-c2c[nH]c3ncccc23)cs1
237276946,COc1cccc(Oc2ccc(NC(=O)[C@@H]3CCNC3)cc2)c1
243893754,CC(C)c1cc(C(=O)N[C@H](c2ccccc2)[C@H]2C[C@@H](O)C2)on1
246789553,O=C(CCc1ccsc1)N[C@@H]1[C@H]2CCO[C@H]2C12CCCC2
248860169,NC[C@@H](NC(=O)[C@@H]1[C@H]2CCCC[C@H]21)c1ccc2ccccc2c1
249003630,C[C@@H]1C[C@@H]1c1cc(NC(=O)Nc2cnn([C@H](C)C3CC3)c2)[nH]n1
253410511,CC(C)[C@H](NC(=O)C(=O)N[C@@H](C)c1ccccc1)c1ccccc1
253420840,c1csc(CN2CCC[C@H]2c2ccc3c(c2)OCCO3)n1
262232295,Cc1cc(C(=O)N(CC(=O)O)Cc2ccccc2)sc1C
263789254,CC(C)n1nccc1NC(=O)Cc1csc(C(C)(C)C)n1
281847535,COc1cccc(CNc2cc(N3CCOCC3)ccc2C)c1
282641259,CCc1nc2c(s1)[C@@H](N(C)Cc1ccc(OC)nn1)CCC2
299789738,COc1cccc(C)c1NC(=O)NCCCN(C)C1CCCC1
301689472,Cc1cccc2c(N(C)Cc3ccc4c(c3)OCO4)ncnc12
332186926,Cc1nc(C(=O)N2[C@@H](C)CCC2(C)C)nn1-c1ccc(F)cc1
333647554,N[C@@H]1CCC[C@H](NC(=O)N[C@@H]2CC[C@H](c3cccc(F)c3)C2)C1
378640391,CC(=O)Nc1ccccc1CN1CC[C@@H](Cc2ccncc2)C1
426733967,Cc1ccc(C)c(OCCCN(C)C(=O)C[C@@H]2CCCOC2)c1
435066657,Cc1cccc(C)c1[C@H](C)NC(=O)N=c1ccn(C(C)C)[nH]1
584901872,CCN(Cc1ccc(C)o1)C(=O)NCCSc1ccccn1
622700828,CC(C)c1cccc(CC(=O)N2CCO[C@H](C3CCC3)C2)c1
638372989,Cc1cccc([C@@H]2C[C@H]2C(=O)N2CCc3ccccc3[C@H]2CN)c1
